residence,developer,attributes/class,attributes/construction_technology,attributes/walls,attributes/insulation,attributes/heating,attributes/num_apartments,attributes/state,attributes/protected_area,attributes/parking,financials/installmentPlan,financials/installmentPlanTerm,description,pricePerUnit,price,area,rooms,
ЖК Greenville на Печерську,Greenville,бізнес,монолітно-каркасна,керамоблок,базальтова вата (базальтова плита),автономне (в будинку),800,без ремонту,від авто та сторонніх,"гостьовий, наземний багаторівневий, підземний",true,,"Greenville — це об'єднання житлового простору з парковою зоною в центрі мегаполісу. Для уникнення монотонної забудови у центрі Києва, архітектори застосували перепади висот та різну поверховість секцій комплексу. В оформленні буде використаний контраст оздоблювальних матеріалів, щоб фасади не злилися в єдине полотно.Загальна стилобатна частина буде комерційною зоною, де відкриють магазини, супермаркет, салони краси, відділення банку та корисні сервіси для комфорту мешканців. Дах стилобату буде місцем для прогулянок по алеях з ландшафтним дизайном.ІнфраструктураGreenville будують в Печерському районі — однієї з ділових та культурних частин Києва. Поруч з комплексом розташовані офісні будівлі, вищі навчальні заклади, музеї та галереї.На приблизно однаковій відстані, 13-15 хвилин пішки, від Greenville відкриті 7 супермаркетів: 3 «Сільпо», 2 «Бджілка Маркета», «Еко Маркет» та «Фуршет», а за 10 хвилин на авто можна доїхати у Novus. 7 хвилин на авто їхати до торгового центру Ocean Plaza з магазинами, ресторанами, кафе, кінотеатром та публічним акваріумом, також 13 хвилин їхати до ТРЦ Gulliver.Для сімей з маленькими дітьми буде побудований дитячий садок на території комплексу. Також в пішому доступі дитячі садки Печерська: 14 хвилин до Newtone Kids і №228, 17 хвилин до садка №728 та №457 «Зайчик». Дітям дорослішого віку можна підібрати поруч школу, додаткові мовні програми або розвиваючі курси.Сходити на тренування можна буде у фітнес-клуб, який відкриють у стилобатній частині комплексу. Також для занять спортом поблизу працюють фітнес-клуби FitCurves, фітнес-студія з заняттями по TRX Hiitworks Печерськ та мережеві тренажерні зали.Особливостіконцепція подвір’я без авто — для гостей та відвідувачів комплексу передбачена зона тимчасового зберігання автодля власників собак буде облаштована зона для вигулу, а також ванні кімнати для миття лап після прогулянкивласне лобі на першому поверсі — з консьєрж-сервісом, зоною для зустрічей та коворкінгомприміщення для зберігання колясок та велосипедівспортивні майданчики для дітей різних вікових груп, міні-футбольне та баскетбольне поле",86225,4138800,48,1,
Linden Luxury Residences,Budhouse Group,преміум,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),140,"під ремонт, з ремонтом, з чорновим ремонтом",від авто та сторонніх,підземний (257 паркомісць),true,,"Розташування Linden Luxury Residences — це самий центр Києва, де поруч Національний банк, Адміністрація Президента та не будують випадкових будівель. В архітектурі комплексу враховується історична забудова району: застосовані світлі тони оздоблення, горизонтальний розподіл кожні 2-3 поверхи, м'які переходи ліній фасадів та завершення скляною «короною» зі шпилем.У Linden Luxury Residences експлуатований дах, де буде міні-парк з галявинами, деревами, місцями для відпочинку, спа та барбекю зонами. З даху та відкритих терас комплексу будуть відкриватися краєвиди на Будинок з химерами, Майдан, Хрещатик, Володимирський та Михайлівський собори.Майбутнім мешканцям буде запропоновано самим обирати та направляти систему кондиціонування і вентиляції відповідно до дизайн-проєкту. Енергоефективна система кондиціонування може працювати на обігрів та на охолодження навіть при температурі +48 за вікном. Вентиляція буде з подвійним ступенем очищення, що важливо в умовах життя мегаполісу. Енергоефективність цих систем доповнюють вентильовані фасади з натурального мармурового вапняку з утеплювачем, прикрашені декоративними елементами.ІнфраструктураУ радіусі 200 метрів розташований Пасаж, театр ім. Івана Франка, ЦУМ, державні адміністративні будівлі, київська мерія, театр російської драми ім. Лесі Українки, а трохи далі — Pinchuk Art Center та Arena City. В окрузі багато ресторанів з кухнями різних країн світу, кав'ярень, барів та пабів.До внутрішньої інфраструктури Linden Luxury Residences входить свій ресторан, де майбутні мешканці будинку зможуть поїсти з друзями або партнерами, робити передзамовлення страв або організувати щоденну доставку до резиденції. Також у комплексі буде лаунж зона з баром, де завжди буде широкий вибір алкоголю, десертів, кави та чаю.Для занять спортом буде організовано 400 кв.м. спортивного простору з кардіо тренажерами, комплексними тренажерами для всіх груп м'язів, зоною вільних ваг, студією для занять йогою та спа зоною. У оснащену італійським обладнанням Starpool спа зону входить сауна, римська парна, душ вражень та масажна кімната.Маленьким дітям можна підібрати дитячий дошкільний центр за декілька хвилин на авто від комплексу: 2 хвилини до дошкільного центру «Джерельце», 5 хвилин до дитячого садка №128, 9 хвилин до дитячого садка №141, 4 хвилин до центру дошкільної освіти №498. Біля будинку гімназія №117 ім. Лесі Українки та гімназія №86 «Консул», трохи далі — спеціалізована школа «Еллада» та гімназія №48.Особливостісистема розумного будинку, за допомогою якої можна буде спостерігати за квартирою та контролювати всі інженерні системидодаткова звукоізоляція в кожній квартиріпотрійна система очищення води від заліза, марганцю, органічних та неорганічних домішок на основі фільтрів Ecosoftавтономне енергозабезпечення забезпечує джерело безперебійного живлення, за опалення відповідає власна котельнякінозал на 12 місць з 6 метровим екраном, проєктором формату 4К Ultra HD та звуком формату Dolby Atmos, де можна буде самому вибрати фільм для перегляду з сім'єю або друзямикомори приміщення площею 10-20 кв.м. для зберігання сезонних, громіздких побутових предметів або спортивного інвентарюпрограмне забезпечення для оплати комунальних платежів онлайн та економії часу власниківкеруюча компанія стежить, щоб все працювало, а якщо щось раптом зламається — оперативно усуває проблемуспеціальне сховище для шуб — камера зберігання для хутряних виробів зі спеціальним освітленням та кліматичним режимомпереговорний зал для особистих зустрічей, бізнес-презентацій та обідів на 12-14 осібкімната водіїв та охорони для тимчасового перебування обслуговуючого персоналуцілодобова охорона з постами охорони та відеоспостереження, система пропуску за особистими електронними картками",213675,1709400,8,1,
БФК OLEGIVSKIY,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),208,"без ремонту, з ремонтом",від авто та сторонніх,підземний (102 паркомісця),true,3,"OLEGIVSKIY — це ексклюзивний багатофункціональний комплекс бізнес-класу в історичному центрі Києва. Будинок спроєктований у стилі модерну та розташований на найвищій точці гори Щекавиця, звідки відкривається неосяжна панорама Подолу та Києва на 360 градусів. Архітектура новобудови ідеально інтегрована в навколишній район — каскадна поверховість, єдиний для всіх секцій стилобат, багаторівневий фасад та стримана кольорова гама.На перших поверхах комплексу передбачені комерційні приміщення, де працюватимуть магазини, аптеки, кав'ярні, салони краси та інші необхідні заклади. Внутрішній двір OLEGIVSKIY буде закритим для сторонніх і вільним від автомобілів — тут спроєктований підземний паркінг на 102 машиномісця із зарядними станціями для електрокарів. На території комплексу розташують власну фітнес-зону та workout-майданчик, який дозволить щоденно підтримувати форму. Також у вас буде можливість займатися йога-руфінгом із видами на Поділ. Для найменших мешканців комплексу передбачено сучасний ігровий майданчик з інтерактивними елементами та простір для дозвілля дітей різного віку.ІнфраструктураМФК OLEGIVSKIY розташований у пішій доступності від історичної та ділової частини столиці серед численних музеїв, культурних пам'яток та релігійних святинь. За 10 хвилин можна дійти до станції метро «Контрактова площа», за 25 хвилин — до «Лук'янівської».У пішому доступі працює ринок «Житній», де продають фермерські овочі, фрукти та інші продукти. З супермаркетів найближчі — NOVUS та «Коло». В окрузі великий вибір ресторанів, кафе та барів, наприклад, «Любчик», Oxota Na Ovets та To Be. За два кроки від будинку відкритий художній центр CLOSER, у якому регулярно проходять музичні концерти, арт-виставки та інші цікаві заходи.По сусідству з новобудовою розташовано спеціальну школу-інтернат №8 для дітей з особливостями розвитку. До школи №17 із поглибленим вивченням математики, гімназії №19 «Межигірської» та загальноосвітньої школи №10 пішки 15 хвилин. Малюків з радістю чекають у дитячих садках №162 — 750 м, №120 — 950 м, №676 «Сонечко» — 1,3 км та низці приватних дошкільних закладів.Медична інфраструктура Подолу представлена ​​Центральною стоматологічною поліклінікою МОЗ України, Центром первинної медико-санітарної допомоги №1 Подільського району, поліклінікою №3 дитячої клінічної лікарні, лікарнею №15 та безліччю клінік та лабораторій приватного типу.Неподалік дому функціонують спортивні клуби «ЕБШ», hiitworks, Fitness For You, студії йоги, школи бойових мистецтв та танцювальні студії.Особливостіу дворі будинку та на даху облаштують комфортні лаунж-зони з м'якими диванами та ландшафтним дизайном, також у вас буде можливість провести приємно вечір біля вуличного каміназавдяки концепції «двір без авто» діти та дорослі зможуть безпечно прогулюватися в зонах відпочинку, грати на майданчиках та займатися спортомлобі в МФК OLEGIVSKIY — це дизайнерський стильний простір з декоративним озелененням і комфортною лаунж-зоною, родзинкою якого стануть сходи зі скляним куполомзабудовник спроєктував 10 квартир з терасами з панорамними видами, які стануть незамінним місцем для релаксу після напружених буднівобслуговуванням комплексу займатиметься професійна керуюча компанія, до того ж майбутні мешканці зможуть користуватися різними додатковими послугами, наприклад, rent-сервісом та власною пральнею",104225,3856325,37,1,
ЖК Новий Автограф,DIM,комфорт,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),810,без ремонту,від автомобілів,підземний з ліфтом,true,3,"Між обома будинками комплексу «Новий автограф» буде реалізована концепція «подвір’я без авто» — тобто закритий для машин та сторонніх внутрішній двір під охороною з елементами ландшафтного дизайну, місцями відпочинку, дитячим ігровим містечком та спортивними майданчиками.У ергономічних індивідуальних плануваннях архітектори ЖК змогли врахувати сучасні тенденції економії житлового простору. ІнфраструктураУ двох хвилинах від комплексу розташований Парк Перемоги, в якому можна орендувати велосипед, зводити дитину на атракціони або в мотузковий парк. А взимку, коли озеро замерзає,  можна кататися на ковзанах. Також за 10 хвилин на авто можна доїхати до Гідропарку, де є можливість покататися на велосипеді, погуляти і відпочити біля р. Дніпро.Нижні поверхи першого будинку (з фасадної сторони) будуть відведені під магазини, салони краси та інші інфраструктурні об'єкти.Поблизу ЖК розташовано кілька супермаркетів великих торгових мереж (до «Сільпо» — 9 хвилин пішки, до «Новуса» 15 хвилин пішки, до «Варуса» — 3 хвилини на авто). Також за 15 хвилин можна потрапити на ринок «Юність».Через Парк Перемоги прогулянка до дитячого садка «Антошка» триватиме 15 хвилин, також за 15 хвилин можна дійти до дошкільних центрів №521 та №535, а за 5-10 хвилин на авто доїхати до дошкільних центрів №503 та №591. Поруч з комплексом «Новий автограф» доросліших дітей чекають школи №183, №65, №201, №148 та Ліцей гуманітарної освіти.5-10 хвилин на авто — та ви потрапляєте на тренування у фітнес-центр з кардіо-зонами та різними видами фітнес-міксів, в якому розташовані студії йоги, клуб бойових мистетств та танцювальна школа. Щоб відновити сили після тренувань – поруч спа-центри, масажні кабінети та реабілітаційний тренінг.Особливостіможливість індивідуального планування квартириіндивідуальні електро-котлипідземний паркінг та гостьова стоянказакрита прибудинкова територія під охороною та цілодобовим відеоспостереженнямзатишні лобі на перших поверхахшвидкісні безшумні ліфти",60550,3269700,54,1,
,,,,,,,,,,,,,,,,,,
БФК А136 Highlight Tower,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),324,"без ремонту, під ремонт",від авто та сторонніх,підземний,true,3,"Житловий комплекс А136 Highlight Tower — представник архітектури ділової частини Голосіївського району: прості геометричні форми, стримані тони фасадів, велика площа скління віконних прорізів та терас. Скляні вікна-вітрини будуть виділятися серед старих будинків та створювати оновлений вигляд столиці.За проєктом в лобі комплексу буде лаунж зона, а на перших комерційних поверхах планують відкрити ресторан, хімчистку, магазини, фітнес-центр зі спа зоною та бізнес простором.ІнфраструктураРозташування — одне з головних переваг комплексу А136. В районі функціонує кілька бізнес-центрів та офісних комплексів, відкриті магазини, відділення банків та медичні кабінети. Є де повечеряти та посидіти з друзями — поруч ресторани, кафе, кав'ярні та бари.Сходити пішки за продуктами можна за 5-10 хвилин у «Сільпо», «Фуршет» та «Біллу», або проїхати на машині 5-7 хвилин до найближчого Novus та «Мега Маркета». Свіжі фрукти, овочі, м'ясо та молочну продукцію можна знайти на прилавках Володимирського ринку. На відстані 10 хвилин пішої прогулянки ТРЦ Ocean Plaza з гіпермаркетом «Ашан», магазинами, ресторанами, кафе, кінотеатром та публічним акваріумом, а 10 хвилин можна доїхати до ТРЦ «Гулівер».Батьки зможуть підібрати дитині цікаві додаткові заняття, адже поблизу є художні та музичні школи, мовні курси та центри розвитку дітей. Якщо потрібна школа недалеко від будинку — хвилина до школи № 37, 4 хвилини до школи №130 з поглибленими англійською та італійською мовами, 15 хвилин до гімназії №32 «Успіх», а за 5-7 хвилин можна доїхати до школи №78, №112 та ліцею №145.Для занять спортом біля комплексу відкриті спортивні клуби «Успіх», Kiev Sport Club, а за 5-10 хвилин можна буде доїхати до фітнес-клубу Interfit на Олімпійській або до фітнес-центру GYMMAXX.Особливостіпентхауси на останніх поверхах — скляні стіни та тераси просто неба, які відкривають краєвиди столиці з висоти пташиного польотуелектрозарядки для автомобілівприміщення для зберігання та обслуговування велосипедівкамін та бібліотека у лоббі на першому поверсіпростір для відпочинку – спортивна та масажна зони для мешканців, тераса з кафе, ігрова кімната, міні-кінотеатр, конференц-залзакрита прибудинкова територія на задньому дворі з лаунж-зоною для відпочинку мешканців з озелененням, диванами, вуличними камінами та декоративною водоймоюцілодобова охорона та відеоспостереженнядля комфорту мешканців — консьєрж сервіс з послугами рівня п'ятизіркового готелю",122875,6635250,54,1,
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,"Montreal House будують в діловій частині Голосіївського району, що буде відображено в архітектурі комплексу: для додання стійкості та виразності застосована каскадна поверховість, а строгі форми та стримані кольори фасадів — це відсилання до архітектури ділової частини Монреаля. У квартирах буде хороша природне освітлення завдяки панорамному склінню вікон та лоджій.Перші поверхи будуть комерційними, тому з боку вулиці фасад прикрашатимуть вітрини бутіків, закладів або салонів краси, а жителі комплексу можуть потрапляти в будинок непоміченими з тильного боку комплексу або прямо з підземного паркінгу.ІнфраструктураПеревага Montreal House — розташування в прицентральному районі. Комплекс оточують бізнес-центри, магазини та відділення банків. Для вечері в вихідний або ланчу в будній день поруч ресторани та кафе з кухнями різних країн світу. Також поблизу паби, бари та інші заклади для дозвілля.За 4 хвилин від Montreal House можна доїхати до Ocean Plaza, а за 10 хвилин до «Гуллівера» з бутиками, магазинами, супермаркетом «Сільпо» та кінотеатром мультиплекс. Сходити за продуктами можна буде пішки: прямо під будинком «Білла», 15 хвилин до «Мега Маркета», «Сільпо» та «Фуршету».Для любителів футболу в трьох кварталах НСК «Олімпійський» та «Алея здоров'я». Якщо займаєтеся плаванням — 12 хвилин пішки до критого басейну «Олімп». Сходити на тренування недалеко від будинку можна в спортивні клуби Gym на Щорса, «Фізмат» або фітнес-клуб Sport Life зі спортивним та дитячим басейнами, полем для сквошу і банним комплексом. Перед початком гірськолижного сезону можна згадати як стояти на лижах або борді на Протасовому Яру, до якого їхати 15 хвилин.Батьки маленьких дітей без зусиль зможуть підібрати дитячий садок або дошкільний центр. Для дітей старшого віку поруч школа №37, школа №130 з поглибленою англійською та італійською, гімназія №32 успіх, школа №112 ім. Т. Шевченка, школа №78 і київський ліцей №145. Є чим зайняти дитину після школи — мовні курси, художні гуртки та музичні школи.Особливостіпланування з пентхаусами — невід'ємними атрибутами житла бізнес-класуцілодобова охорона та відеоспостереження на території комплексу, у підземному паркінгудля виконання доручень та допомоги в побутових питаннях буде працювати консьєрж-сервісзагальні видові тераси для відпочинку мешканців комплексу",116825,6308550,54,1,
ЖК LUCKY LAND,DIM,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),5183,"без ремонту, з ремонтом",від авто та сторонніх,"гостьовий (2500 паркомісць), підземний з ліфтом (356 паркомісць)",true,3,"Житловий комплекс Lucky Land — це новий регіональний центр Київського мегаполісу з повноцінною внутрішньою інфраструктурою. Концепція комплексу розроблена групою компаній DIM разом із архітектурним бюро Архіматика. Її основна ідея – поєднання сучасних інновацій із традиціями київської архітектури.Мікрорайон у скандинавському стилі розташований поблизу великої природної зони, екологічно сприятливої для проживання. З північного боку комплекс оточує віковий сосновий ліс площею понад 100 га, а за 5 хвилин автомобілем від Lucky Land — рекреаційна зона Києва Пуща Водиця.Сім кварталів житлового комплексу класу комфорт+ розташовані на території площею 28,5 га із власною розвиненою внутрішньою інфраструктурою та утворюють поліфункціональний район у форматі live-work-play, що повністю задовольнить щоденні потреби мешканців.Щоб уникнути ефекту колодязя та нестачі сонячного світла застосована різна поверховість та мультифункціональне скління. У кожній квартирі передбачений балкон або власна тераса, з якої відкривається краєвид на місто. Прибудинкова територія спроєктована у форматі відкритого громадського простору з парковою зоною, місцями для відпочинку, дитячими ігровими зонами, спортивними майданчиками та прогулянковими алеями.ІнфраструктураЖитловий комплекс Lucky Land розташований поруч із важливими транспортними артеріями міста: проспектом Академіка Палладіна, Великою Окружною дорогою, вулицею Сирецькою та Гостомельським шосе, що дозволяє обирати варіант маршруту до будь-якої точки міста. Поруч із комплексом зупинки міського транспорту, від яких відправляються маршрутки №719-2 та №512, а також 15 автобусних маршрутів.Район забудови — зосередження великих торгових центрів. За продуктами можна вийти до гіпермаркету «Ашан», розташованого поряд із комплексом. У пішому доступі від новобудови знаходяться супермаркети Fermachi — 4 хвилини, Novus — 7 хвилин, «Сільпо» у ТРЦ Lavina Mall — 8 хвилин. Також у ТРЦ працюють понад 150 магазинів, ресторани, кафе, кінотеатр «Мультиплекс», McDonald's та сімейний парк розваг. Автомобілем 6-9 хвилин до двох супермаркетів «АТБ-Маркет» та «Фора». Товари для дому та ремонту поблизу завжди можна знайти у ТЦ «Епіцентр», витративши на дорогу 10 хвилин пішки.Проєктом житлового комплексу Lucky Land передбачено будівництво приватної Креативної Міжнародної Дитячої школи (КМДШ) повного дня на 680 учнів. Поблизу від школи будуть розташовані спортивні зони та центральний парк, де облаштують алеї для прогулянок, зони тихого та активного відпочинку, а також дитячі майданчики. У радіусі 10 хвилин на авто від комплексу — школи №203, №95, №162 та №175, гімназії «Престиж» та «Прем'єр».Для дітей у комплексу буде 6 власних дитячих садків, які запроєктовані на перших поверхах будинків. За 10 хвилин пішки від нього розташований муніципальний дитячий садок №682, за 5 хвилина авто — дитячий садок «Весела хатинка», а у радіусі 10 хвилин автомобілем — садки №465, №565 та №789.Для занять спортом у Lucky Land передбачено власний фітнес-центр з басейном та кілька спортивних майданчиків. У разі потреби всього 15 хвилин на авто — і ви вже у Міжнародній школі тенісу МТА, фітнес-клубі Fitness Sport Style, Rich Health або Mixer Gym.Комплектаціястіни з керамоблоків утеплені мінеральною ватою під декоративне оздоблення глазурованою керамікою, натуральним каменем, керамогранітом, клінкерною цеглою, латунню, алюмінієм, архітектурним бетоном та арт-штукатуркоюпанорамні вікна на всю висоту поверху забезпечать максимум світла, простору та повітрязабудовник пропонує квартири з кількома варіантами ремонтув кожній квартирі встановлені високотехнологічні індивідуальні системи опалення, що дозволяє контролювати цю статтю витрату квартирах встановлені протипожежні та протиударні вхідні дверіу місцях загального користування — енергозберігаюче освітленняу під'їздах — безшумні швидкісні ліфтидля зберігання великогабаритних речей, дитячих візочків та велосипедів передбачені колясочні та велосипедні у комфортних дизайнерських лобізакрита територія з концепцією «без авто та сторонніх», цілодобовою охороною та відеоспостереженнямдля мешканців з автомобілями передбачено наземний та підземний паркінги, для гостей — відкрита стоянка",64125,1795500,28,1,
ЖК Кришталеві джерела,KSM-GROUP,комфорт,"цегляна, монолітно-каркасна","цегла, газоблок (газобетон)",пінополістирол (пінопласт),централізоване,4308,без ремонту,від авто та сторонніх,гостьовий,true,2,"Житловий комплекс «Кришталеві джерела» в Києві – це новий столичний мікрорайон у Феофанії. Генеральний план будівництва передбачає створення житла нового формату з європейським, висококласним рівнем якості і відмінною навколишньою екологією. Якщо ви хочете жити поблизу ліса, в сучасному комфортабельному кварталі, рекомендуємо розглянути можливість купити квартиру в ЖК «Кришталеві джерела» від забудовника КСМ-Груп. На офіційному сайті об'єкту вказаний порядок діючих цін і детальні фото етапів будівництва. У ЖК є всі необхідні об'єкти соціальної і побутової інфраструктури, комплекс охороняється по всьому периметру.ЖК «Кришталеві джерела» на вул. Метрологічній складається з декількох п'яти – дев'ятиповерхових будинків. Клубна забудова розташована поблизу до входу в садово-парковий комплекс. У будинках задаються квартири різних планувань: від невеликих, але затишних однокімнатних, до дворівневих ексклюзивних апартаментів з розкішними видовими характеристиками. Житлові простори відрізняються підвищеною функціональністю і раціональним використанням корисної площі.На території комплексу також передбачений бізнес-центр, представлений офісним кварталом, виконаним в англійському стилі. Кожна офісна будівля оснащена приватним внутрішнім двором, безкоштовними місцями для паркування.Продаж квартир в ЖК «Кришталеві джерела» за цінами забудовника ведеться вже давно. Перша черга ЖК здана в 2014 році, на даному етапі ведеться зведення другої черги. На столичному тематичному форумі, присвяченому новим житловим кварталам, є обговорення об'єкту, де мешканці ЖК і потенційні власники діляться своїми відгуками.",55600,1668000,30,1,
ЖК Greenville Park,Greenville,бізнес,монолітно-каркасна,"цегла, керамоблок",мінеральна вата,автономне (в будинку),664,з чорновим ремонтом,від авто та сторонніх,гостьовий (600 паркомісць),true,3,"Житловий комплекс «Greenville Park» в Києві розташований в Шевченківському районі за адресою вул. Миколи Пимоненка, 21 поруч зі сквером Гейдара Алієва. Транспортна доступністьПоблизу проходить вулиця Глибочицька – важлива транспортна магістраль, що дозволяє швидко проїхати на Поділ. Біля новобудови пролягає безліч маршрутів міського транспорту. По сусідству є зупинка автобуса, трамвая, тролейбуса і маршрутних таксі. Неподалік розташована станція метро. Основна концепція ЖК «Грінвіль Парк» – житловий комплекс, який вдало поєднує в собі досягнення сучасних технологій із затишком, що забезпечує простора прибудинкова територія з великою парковою зоною, двома спортивними і шістьма дитячими майданчиками. У ЖК є власний манікюрний салон, лобі-бар і бізнес-зона. Спеціально обладнані приміщення для проведення ділових зустрічей, тренінгів та занять. Усе це є проявом ідеї «WORK. LIFE. BALANCE», яка закладена при проєктуванні комплексу – новобудова ідеально підходить людям, які цінують свій час і прагнуть до рівноваги між роботою та відпочинком. На даху ЖК на вул. Пимоненка, 21 в м. Київ споруджується комфортабельна лаунж-тераса з камінами і м'якими диванами, джакузі і зоною барбекю. У будівлях встановлюються безшумні швидкісні ліфти, на яких можна спуститися в підземний паркінг – кількість місць у ньому відповідає кількості квартир. Інфраструктура районуПоруч з новобудовою знаходиться поліклініка і медичний центр, відділення банків, салон краси і кафе. Поблизу є магазини, супермаркети, бізнес-центри, кінотеатр, Мала опера, школи, дитсадки та ринок. Матеріали і технологіїУ ході будівництва використовуються матеріали, що гарантують максимальну міцність і довговічність будівель. Застосовується монолітно-каркасна технологія, що забезпечує велику різноманітність планувань житла. Купити квартиру в ЖК «Грінвіль Парк» в м. Київ від забудовників Greenville та НЕСТ можна в 1-2-3-4-кімнатному варіанті, а також є можливість легко здійснити перепланування.Стіни зводяться з цегли, фасади облицьовуються вентильованими системами з утепленням мінеральною ватою, що позитивно позначається на вартості комунальних послуг. Широко використовується панорамне скління вікон, що сприяє відмінній природній освітленості в квартирах. Той, кого зацікавив продаж квартир в ЖК «Greenville Park», ціни зможе уточнити в офісі в представників забудовника. Фото комплексу та відгуки про його особливості публікуються в соцмережах і на форумах.",98000,4998000,51,1,
