residence,developer,address,class,year,price,area,rooms,minutesToCityCenter,crimeRateInDistrict,district
А136 Highlight Tower,DIM,"вул. Антоновича, 136-138",бізнес,2023,6907950,54,1,48,,
А136 Highlight Tower,DIM,"вул. Антоновича, 136-138",бізнес,2023,7419650,58,1,48,,
А136 Highlight Tower,DIM,"вул. Антоновича, 136-138",бізнес,2023,9120000,80,2,48,,
А136 Highlight Tower,DIM,"вул. Антоновича, 136-138",бізнес,2023,9234000,81,2,48,,
А136 Highlight Tower,DIM,"вул. Антоновича, 136-138",бізнес,2023,9690000,85,2,48,,
А136 Highlight Tower,DIM,"вул. Антоновича, 136-138",бізнес,2023,10032000,88,2,48,,
А136 Highlight Tower,DIM,"вул. Антоновича, 136-138",бізнес,2023,12312000,108,2,48,,
А136 Highlight Tower,DIM,"вул. Антоновича, 136-138",бізнес,2023,13338000,117,2,48,,
А136 Highlight Tower,DIM,"вул. Антоновича, 136-138",бізнес,2023,13206375,117,3,48,,
А136 Highlight Tower,DIM,"вул. Антоновича, 136-138",бізнес,2023,14786625,131,3,48,,
ЖК Паркове місто,UDP,"вул. Вишгородська, 45",бізнес,2024,,31,1,123,,
ЖК Паркове місто,UDP,"вул. Вишгородська, 45",бізнес,2024,,42,1,123,,
ЖК Паркове місто,UDP,"вул. Вишгородська, 45",бізнес,2024,,43,1,123,,
ЖК Паркове місто,UDP,"вул. Вишгородська, 45",бізнес,2024,,47,1,123,,
ЖК Паркове місто,UDP,"вул. Вишгородська, 45",бізнес,2024,,48,1,123,,
ЖК Паркове місто,UDP,"вул. Вишгородська, 45",бізнес,2024,,50,1,123,,
ЖК Паркове місто,UDP,"вул. Вишгородська, 45",бізнес,2024,,52,1,123,,
ЖК Паркове місто,UDP,"вул. Вишгородська, 45",бізнес,2024,,68,2,123,,
ЖК Паркове місто,UDP,"вул. Вишгородська, 45",бізнес,2024,,72,2,123,,
ЖК Паркове місто,UDP,"вул. Вишгородська, 45",бізнес,2024,,76,2,123,,
Linden Luxury Residences,Budhouse Group,"вул. Лютеранська, 14в",преміум,,1620000,8,1,5,,
Linden Luxury Residences,Budhouse Group,"вул. Лютеранська, 14в",преміум,,15997500,79,1,5,,
Linden Luxury Residences,Budhouse Group,"вул. Лютеранська, 14в",преміум,,16402500,81,1,5,,
Linden Luxury Residences,Budhouse Group,"вул. Лютеранська, 14в",преміум,,16605000,82,1,5,,
Linden Luxury Residences,Budhouse Group,"вул. Лютеранська, 14в",преміум,,19845000,98,1,5,,
Linden Luxury Residences,Budhouse Group,"вул. Лютеранська, 14в",преміум,,21084000,84,2,5,,
Linden Luxury Residences,Budhouse Group,"вул. Лютеранська, 14в",преміум,,21837000,87,2,5,,
Linden Luxury Residences,Budhouse Group,"вул. Лютеранська, 14в",преміум,,22339000,89,2,5,,
Linden Luxury Residences,Budhouse Group,"вул. Лютеранська, 14в",преміум,,24096000,96,2,5,,
Linden Luxury Residences,Budhouse Group,"вул. Лютеранська, 14в",преміум,,26104000,104,2,5,,
Клубний будинок OLEGIVSKIY,DIM,"вул. Олегівська, 36",бізнес,2024,3654675,37,1,42,,
Клубний будинок OLEGIVSKIY,DIM,"вул. Олегівська, 36",бізнес,2024,4543650,46,1,42,,
Клубний будинок OLEGIVSKIY,DIM,"вул. Олегівська, 36",бізнес,2024,4642425,47,1,42,,
Клубний будинок OLEGIVSKIY,DIM,"вул. Олегівська, 36",бізнес,2024,5531400,56,1,42,,
Клубний будинок OLEGIVSKIY,DIM,"вул. Олегівська, 36",бізнес,2024,5771675,59,2,42,,
Клубний будинок OLEGIVSKIY,DIM,"вул. Олегівська, 36",бізнес,2024,6358625,65,2,42,,
Клубний будинок OLEGIVSKIY,DIM,"вул. Олегівська, 36",бізнес,2024,6554275,67,2,42,,
