,description,class,predictedClass
0,"Residential complex A136 Highlight Tower is a representative of the architecture of the business part of the Holosiiv district: simple geometric shapes, restrained colors of the facades, a large area of ​​glazing of window openings and terraces. The glass showcase windows will stand out among the old buildings and create an updated look of the capital. According to the project, there will be a lounge area in the lobby of the complex, and on the first commercial floors they plan to open a restaurant, dry cleaning, shops, a fitness center with a spa area and business space. Infrastructure The location is one of the main advantages of the A136 complex. Several business centers and office complexes, open shops, bank branches and medical offices are operating in the district. There are places to have dinner and hang out with friends - there are restaurants, cafes, coffee shops and bars nearby. You can walk for groceries in 5-10 minutes to ""Silpo"", ""Furshet"" and ""Billa"", or drive 5-7 minutes to the nearest Novus and Mega Market. Fresh fruits, vegetables, meat and dairy products can be found on the shelves of the Volodymyr Market. It is a 10-minute walk to the Ocean Plaza shopping center with the Auchan hypermarket, shops, restaurants, a cafe, a cinema and a public aquarium, and a 10-minute drive to the Gulliver shopping center. Parents will be able to find interesting additional activities for their children, as there are art and music schools, language courses and child development centers. If you need a school close to the house, it is a minute to school No. 37, 4 minutes to school No. 130 with advanced English and Italian languages, 15 minutes to gymnasium No. 32 ""Success"", and in 5-7 minutes you can get to school No. 78, No. 112 and lyceum No. 145. Sports clubs ""Uspikh"", Kiev Sport Club are open for sports near the complex, and in 5-10 minutes you can drive to the Interfit fitness club on Olimpiyskaya or to the GYMMAXX fitness center. Specially, the penthouses on the top floors are glass walls and open-air terraces that offer a bird’s-eye view of the capital, electric car chargers, bicycle storage and maintenance facilities, a fireplace and a library in the lobby on the first floor, a recreation area - sports and massage areas for residents, a terrace with a cafe, a game room, a mini-cinema, a conference hall, a closed outbuilding area in the backyard with a lounge area for residents to relax with landscaping, sofas, outdoor fireplaces and a decorative pond, round-the-clock security and video surveillance for the comfort of residents — concierge service with services at the level of a five-star hotel",0,бізнес
2,"Residential complex A136 Highlight Tower is a representative of the architecture of the business part of the Holosiiv district: simple geometric shapes, restrained colors of the facades, a large area of ​​glazing of window openings and terraces. The glass showcase windows will stand out among the old buildings and create an updated look of the capital. According to the project, there will be a lounge area in the lobby of the complex, and on the first commercial floors they plan to open a restaurant, dry cleaning, shops, a fitness center with a spa area and business space. Infrastructure The location is one of the main advantages of the A136 complex. Several business centers and office complexes, open shops, bank branches and medical offices are operating in the district. There are places to have dinner and hang out with friends - there are restaurants, cafes, coffee shops and bars nearby. You can walk for groceries in 5-10 minutes to ""Silpo"", ""Furshet"" and ""Billa"", or drive 5-7 minutes to the nearest Novus and Mega Market. Fresh fruits, vegetables, meat and dairy products can be found on the shelves of the Volodymyr Market. It is a 10-minute walk to the Ocean Plaza shopping center with the Auchan hypermarket, shops, restaurants, a cafe, a cinema and a public aquarium, and a 10-minute drive to the Gulliver shopping center. Parents will be able to find interesting additional activities for their children, as there are art and music schools, language courses and child development centers. If you need a school close to the house, it is a minute to school No. 37, 4 minutes to school No. 130 with advanced English and Italian languages, 15 minutes to gymnasium No. 32 ""Success"", and in 5-7 minutes you can get to school No. 78, No. 112 and lyceum No. 145. Sports clubs ""Uspikh"", Kiev Sport Club are open for sports near the complex, and in 5-10 minutes you can drive to the Interfit fitness club on Olimpiyskaya or to the GYMMAXX fitness center. Specially, the penthouses on the top floors are glass walls and open-air terraces that offer a bird’s-eye view of the capital, electric car chargers, bicycle storage and maintenance facilities, a fireplace and a library in the lobby on the first floor, a recreation area - sports and massage areas for residents, a terrace with a cafe, a game room, a mini-cinema, a conference hall, a closed outbuilding area in the backyard with a lounge area for residents to relax with landscaping, sofas, outdoor fireplaces and a decorative pond, round-the-clock security and video surveillance for the comfort of residents — concierge service with services at the level of a five-star hotel",0,бізнес
3,"Residential complex A136 Highlight Tower is a representative of the architecture of the business part of the Holosiiv district: simple geometric shapes, restrained colors of the facades, a large area of ​​glazing of window openings and terraces. The glass showcase windows will stand out among the old buildings and create an updated look of the capital. According to the project, there will be a lounge area in the lobby of the complex, and on the first commercial floors they plan to open a restaurant, dry cleaning, shops, a fitness center with a spa area and business space. Infrastructure The location is one of the main advantages of the A136 complex. Several business centers and office complexes, open shops, bank branches and medical offices are operating in the district. There are places to have dinner and hang out with friends - there are restaurants, cafes, coffee shops and bars nearby. You can walk for groceries in 5-10 minutes to ""Silpo"", ""Furshet"" and ""Billa"", or drive 5-7 minutes to the nearest Novus and Mega Market. Fresh fruits, vegetables, meat and dairy products can be found on the shelves of the Volodymyr Market. It is a 10-minute walk to the Ocean Plaza shopping center with the Auchan hypermarket, shops, restaurants, a cafe, a cinema and a public aquarium, and a 10-minute drive to the Gulliver shopping center. Parents will be able to find interesting additional activities for their children, as there are art and music schools, language courses and child development centers. If you need a school close to the house, it is a minute to school No. 37, 4 minutes to school No. 130 with advanced English and Italian languages, 15 minutes to gymnasium No. 32 ""Success"", and in 5-7 minutes you can get to school No. 78, No. 112 and lyceum No. 145. Sports clubs ""Uspikh"", Kiev Sport Club are open for sports near the complex, and in 5-10 minutes you can drive to the Interfit fitness club on Olimpiyskaya or to the GYMMAXX fitness center. Specially, the penthouses on the top floors are glass walls and open-air terraces that offer a bird’s-eye view of the capital, electric car chargers, bicycle storage and maintenance facilities, a fireplace and a library in the lobby on the first floor, a recreation area - sports and massage areas for residents, a terrace with a cafe, a game room, a mini-cinema, a conference hall, a closed outbuilding area in the backyard with a lounge area for residents to relax with landscaping, sofas, outdoor fireplaces and a decorative pond, round-the-clock security and video surveillance for the comfort of residents — concierge service with services at the level of a five-star hotel",0,бізнес
4,"Residential complex A136 Highlight Tower is a representative of the architecture of the business part of the Holosiiv district: simple geometric shapes, restrained colors of the facades, a large area of ​​glazing of window openings and terraces. The glass showcase windows will stand out among the old buildings and create an updated look of the capital. According to the project, there will be a lounge area in the lobby of the complex, and on the first commercial floors they plan to open a restaurant, dry cleaning, shops, a fitness center with a spa area and business space. Infrastructure The location is one of the main advantages of the A136 complex. Several business centers and office complexes, open shops, bank branches and medical offices are operating in the district. There are places to have dinner and hang out with friends - there are restaurants, cafes, coffee shops and bars nearby. You can walk for groceries in 5-10 minutes to ""Silpo"", ""Furshet"" and ""Billa"", or drive 5-7 minutes to the nearest Novus and Mega Market. Fresh fruits, vegetables, meat and dairy products can be found on the shelves of the Volodymyr Market. It is a 10-minute walk to the Ocean Plaza shopping center with the Auchan hypermarket, shops, restaurants, a cafe, a cinema and a public aquarium, and a 10-minute drive to the Gulliver shopping center. Parents will be able to find interesting additional activities for their children, as there are art and music schools, language courses and child development centers. If you need a school close to the house, it is a minute to school No. 37, 4 minutes to school No. 130 with advanced English and Italian languages, 15 minutes to gymnasium No. 32 ""Success"", and in 5-7 minutes you can get to school No. 78, No. 112 and lyceum No. 145. Sports clubs ""Uspikh"", Kiev Sport Club are open for sports near the complex, and in 5-10 minutes you can drive to the Interfit fitness club on Olimpiyskaya or to the GYMMAXX fitness center. Specially, the penthouses on the top floors are glass walls and open-air terraces that offer a bird’s-eye view of the capital, electric car chargers, bicycle storage and maintenance facilities, a fireplace and a library in the lobby on the first floor, a recreation area - sports and massage areas for residents, a terrace with a cafe, a game room, a mini-cinema, a conference hall, a closed outbuilding area in the backyard with a lounge area for residents to relax with landscaping, sofas, outdoor fireplaces and a decorative pond, round-the-clock security and video surveillance for the comfort of residents — concierge service with services at the level of a five-star hotel",0,бізнес
5,"Residential complex A136 Highlight Tower is a representative of the architecture of the business part of the Holosiiv district: simple geometric shapes, restrained colors of the facades, a large area of ​​glazing of window openings and terraces. The glass showcase windows will stand out among the old buildings and create an updated look of the capital. According to the project, there will be a lounge area in the lobby of the complex, and on the first commercial floors they plan to open a restaurant, dry cleaning, shops, a fitness center with a spa area and business space. Infrastructure The location is one of the main advantages of the A136 complex. Several business centers and office complexes, open shops, bank branches and medical offices are operating in the district. There are places to have dinner and hang out with friends - there are restaurants, cafes, coffee shops and bars nearby. You can walk for groceries in 5-10 minutes to ""Silpo"", ""Furshet"" and ""Billa"", or drive 5-7 minutes to the nearest Novus and Mega Market. Fresh fruits, vegetables, meat and dairy products can be found on the shelves of the Volodymyr Market. It is a 10-minute walk to the Ocean Plaza shopping center with the Auchan hypermarket, shops, restaurants, a cafe, a cinema and a public aquarium, and a 10-minute drive to the Gulliver shopping center. Parents will be able to find interesting additional activities for their children, as there are art and music schools, language courses and child development centers. If you need a school close to the house, it is a minute to school No. 37, 4 minutes to school No. 130 with advanced English and Italian languages, 15 minutes to gymnasium No. 32 ""Success"", and in 5-7 minutes you can get to school No. 78, No. 112 and lyceum No. 145. Sports clubs ""Uspikh"", Kiev Sport Club are open for sports near the complex, and in 5-10 minutes you can drive to the Interfit fitness club on Olimpiyskaya or to the GYMMAXX fitness center. Specially, the penthouses on the top floors are glass walls and open-air terraces that offer a bird’s-eye view of the capital, electric car chargers, bicycle storage and maintenance facilities, a fireplace and a library in the lobby on the first floor, a recreation area - sports and massage areas for residents, a terrace with a cafe, a game room, a mini-cinema, a conference hall, a closed outbuilding area in the backyard with a lounge area for residents to relax with landscaping, sofas, outdoor fireplaces and a decorative pond, round-the-clock security and video surveillance for the comfort of residents — concierge service with services at the level of a five-star hotel",0,бізнес
10,"The residential complex ""Rusanivska Gavan"" is part of the development of a new microdistrict: new residential complexes with their own shopping infrastructure, two kindergartens and a school will be built on the site of an abandoned industrial zone. Only two houses belong to ""Rusanivska Havana"" - one on the first line and one more on the second. Combined, both buildings will be a common residential area, where there will be underground parking, and on its roof - a closed courtyard without cars. The main idea of ​​the ""Rusanivska Gavan"" complex is the advantages of living near the water: views of the Dnipro and Trukhanov Island, as well as an equipped embankment along the shore. Infrastructure You can reach the city train station in 10 minutes from the complex, and after the completion of the construction of the Podilsk bridge crossing and the Podilsk-Vygurivska subway line, it will be even more convenient to get to the right bank. There are supermarkets of large retail chains nearby: 15 minutes on foot to Novus and "" Silpo"", 10 minutes by car to Varus, another Novus and another ""Silpo"". You can also reach the Left Bank market in 5 minutes, where fresh fruits and vegetables are sold. As part of the development of the new neighborhood, 2 kindergartens and 1 school will be built, which will make it easier for young families to find a preschool. If suddenly there are not enough places or something doesn't work out, there are other kindergartens in the area nearby: 15 minutes on foot to #566, 8 minutes by car to Kraina Dytynstva, 10 minutes by car to kindergartens #337, #261 and #444. For older children, schools #72, #65, #128 and Ukrainian College named after V.O. Sukhomlynskyi. To train nearby, you will need to walk for 15-20 minutes or drive 5-7 minutes to the fitness clubs ""Sport Land"", the Iron fitness club, the Grand Sport and ""Atletico-fitness"" clubs. 7 minutes by car - and you are in A hydropark, where you can sunbathe on the beach, take a walk in the fresh air, ride a bike, sit in a cafe or take your child to attractions. Features include its own boiler room for each house, an equipped embankment on the banks of the Dnipro — a place for walks, morning jogs and relaxing on sunbeds, a sports area with exercise machines sky, children's play areas for children of all ages",2,комфорт
11,"The residential complex ""Rusanivska Gavan"" is part of the development of a new microdistrict: new residential complexes with their own shopping infrastructure, two kindergartens and a school will be built on the site of an abandoned industrial zone. Only two houses belong to ""Rusanivska Havana"" - one on the first line and one more on the second. Combined, both buildings will be a common residential area, where there will be underground parking, and on its roof - a closed courtyard without cars. The main idea of ​​the ""Rusanivska Gavan"" complex is the advantages of living near the water: views of the Dnipro and Trukhanov Island, as well as an equipped embankment along the shore. Infrastructure You can reach the city train station in 10 minutes from the complex, and after the completion of the construction of the Podilsk bridge crossing and the Podilsk-Vygurivska subway line, it will be even more convenient to get to the right bank. There are supermarkets of large retail chains nearby: 15 minutes on foot to Novus and "" Silpo"", 10 minutes by car to Varus, another Novus and another ""Silpo"". You can also reach the Left Bank market in 5 minutes, where fresh fruits and vegetables are sold. As part of the development of the new neighborhood, 2 kindergartens and 1 school will be built, which will make it easier for young families to find a preschool. If suddenly there are not enough places or something doesn't work out, there are other kindergartens in the area nearby: 15 minutes on foot to #566, 8 minutes by car to Kraina Dytynstva, 10 minutes by car to kindergartens #337, #261 and #444. For older children, schools #72, #65, #128 and Ukrainian College named after V.O. Sukhomlynskyi. To train nearby, you will need to walk for 15-20 minutes or drive 5-7 minutes to the fitness clubs ""Sport Land"", the Iron fitness club, the Grand Sport and ""Atletico-fitness"" clubs. 7 minutes by car - and you are in A hydropark, where you can sunbathe on the beach, take a walk in the fresh air, ride a bike, sit in a cafe or take your child to attractions. Features include its own boiler room for each house, an equipped embankment on the banks of the Dnipro — a place for walks, morning jogs and relaxing on sunbeds, a sports area with exercise machines sky, children's play areas for children of all ages",2,комфорт
12,"The residential complex ""Rusanivska Gavan"" is part of the development of a new microdistrict: new residential complexes with their own shopping infrastructure, two kindergartens and a school will be built on the site of an abandoned industrial zone. Only two houses belong to ""Rusanivska Havana"" - one on the first line and one more on the second. Combined, both buildings will be a common residential area, where there will be underground parking, and on its roof - a closed courtyard without cars. The main idea of ​​the ""Rusanivska Gavan"" complex is the advantages of living near the water: views of the Dnipro and Trukhanov Island, as well as an equipped embankment along the shore. Infrastructure You can reach the city train station in 10 minutes from the complex, and after the completion of the construction of the Podilsk bridge crossing and the Podilsk-Vygurivska subway line, it will be even more convenient to get to the right bank. There are supermarkets of large retail chains nearby: 15 minutes on foot to Novus and "" Silpo"", 10 minutes by car to Varus, another Novus and another ""Silpo"". You can also reach the Left Bank market in 5 minutes, where fresh fruits and vegetables are sold. As part of the development of the new neighborhood, 2 kindergartens and 1 school will be built, which will make it easier for young families to find a preschool. If suddenly there are not enough places or something doesn't work out, there are other kindergartens in the area nearby: 15 minutes on foot to #566, 8 minutes by car to Kraina Dytynstva, 10 minutes by car to kindergartens #337, #261 and #444. For older children, schools #72, #65, #128 and Ukrainian College named after V.O. Sukhomlynskyi. To train nearby, you will need to walk for 15-20 minutes or drive 5-7 minutes to the fitness clubs ""Sport Land"", the Iron fitness club, the Grand Sport and ""Atletico-fitness"" clubs. 7 minutes by car - and you are in A hydropark, where you can sunbathe on the beach, take a walk in the fresh air, ride a bike, sit in a cafe or take your child to attractions. Features include its own boiler room for each house, an equipped embankment on the banks of the Dnipro — a place for walks, morning jogs and relaxing on sunbeds, a sports area with exercise machines sky, children's play areas for children of all ages",2,комфорт
13,"The residential complex ""Rusanivska Gavan"" is part of the development of a new microdistrict: new residential complexes with their own shopping infrastructure, two kindergartens and a school will be built on the site of an abandoned industrial zone. Only two houses belong to ""Rusanivska Havana"" - one on the first line and one more on the second. Combined, both buildings will be a common residential area, where there will be underground parking, and on its roof - a closed courtyard without cars. The main idea of ​​the ""Rusanivska Gavan"" complex is the advantages of living near the water: views of the Dnipro and Trukhanov Island, as well as an equipped embankment along the shore. Infrastructure You can reach the city train station in 10 minutes from the complex, and after the completion of the construction of the Podilsk bridge crossing and the Podilsk-Vygurivska subway line, it will be even more convenient to get to the right bank. There are supermarkets of large retail chains nearby: 15 minutes on foot to Novus and "" Silpo"", 10 minutes by car to Varus, another Novus and another ""Silpo"". You can also reach the Left Bank market in 5 minutes, where fresh fruits and vegetables are sold. As part of the development of the new neighborhood, 2 kindergartens and 1 school will be built, which will make it easier for young families to find a preschool. If suddenly there are not enough places or something doesn't work out, there are other kindergartens in the area nearby: 15 minutes on foot to #566, 8 minutes by car to Kraina Dytynstva, 10 minutes by car to kindergartens #337, #261 and #444. For older children, schools #72, #65, #128 and Ukrainian College named after V.O. Sukhomlynskyi. To train nearby, you will need to walk for 15-20 minutes or drive 5-7 minutes to the fitness clubs ""Sport Land"", the Iron fitness club, the Grand Sport and ""Atletico-fitness"" clubs. 7 minutes by car - and you are in A hydropark, where you can sunbathe on the beach, take a walk in the fresh air, ride a bike, sit in a cafe or take your child to attractions. Features include its own boiler room for each house, an equipped embankment on the banks of the Dnipro — a place for walks, morning jogs and relaxing on sunbeds, a sports area with exercise machines sky, children's play areas for children of all ages",2,комфорт
14,"The residential complex ""Rusanivska Gavan"" is part of the development of a new microdistrict: new residential complexes with their own shopping infrastructure, two kindergartens and a school will be built on the site of an abandoned industrial zone. Only two houses belong to ""Rusanivska Havana"" - one on the first line and one more on the second. Combined, both buildings will be a common residential area, where there will be underground parking, and on its roof - a closed courtyard without cars. The main idea of ​​the ""Rusanivska Gavan"" complex is the advantages of living near the water: views of the Dnipro and Trukhanov Island, as well as an equipped embankment along the shore. Infrastructure You can reach the city train station in 10 minutes from the complex, and after the completion of the construction of the Podilsk bridge crossing and the Podilsk-Vygurivska subway line, it will be even more convenient to get to the right bank. There are supermarkets of large retail chains nearby: 15 minutes on foot to Novus and "" Silpo"", 10 minutes by car to Varus, another Novus and another ""Silpo"". You can also reach the Left Bank market in 5 minutes, where fresh fruits and vegetables are sold. As part of the development of the new neighborhood, 2 kindergartens and 1 school will be built, which will make it easier for young families to find a preschool. If suddenly there are not enough places or something doesn't work out, there are other kindergartens in the area nearby: 15 minutes on foot to #566, 8 minutes by car to Kraina Dytynstva, 10 minutes by car to kindergartens #337, #261 and #444. For older children, schools #72, #65, #128 and Ukrainian College named after V.O. Sukhomlynskyi. To train nearby, you will need to walk for 15-20 minutes or drive 5-7 minutes to the fitness clubs ""Sport Land"", the Iron fitness club, the Grand Sport and ""Atletico-fitness"" clubs. 7 minutes by car - and you are in A hydropark, where you can sunbathe on the beach, take a walk in the fresh air, ride a bike, sit in a cafe or take your child to attractions. Features include its own boiler room for each house, an equipped embankment on the banks of the Dnipro — a place for walks, morning jogs and relaxing on sunbeds, a sports area with exercise machines sky, children's play areas for children of all ages",2,комфорт
