residence,developer,attributes/class,attributes/construction_technology,attributes/walls,attributes/insulation,attributes/heating,attributes/num_apartments,attributes/state,attributes/protected_area,attributes/parking,financials/installmentPlan,financials/installmentPlanTerm,pricePerUnit,price,area,rooms
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,116825,5023475,43,1
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,116825,6308550,54,1
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,116825,5958075,51,1
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,116825,6074900,52,1
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,116825,6308550,54,1
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,116825,6425375,55,1
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,116825,7476800,64,1
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,106750,7045500,66,2
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,106750,7259000,68,2
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,106750,7579250,71,2
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,106750,8219750,77,2
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,106750,9394000,88,2
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,106750,9394000,88,2
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,106750,9394000,88,2
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,106750,10141250,95,2
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,106750,10675000,100,2
ЖК Montreal House,Alliance Novobud,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),328,без ремонту,від авто та сторонніх,підземний з ліфтом (187 паркомісць),true,1,115600,8901200,77,3
БФК А136 Highlight Tower,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),324,"без ремонту, під ремонт",від авто та сторонніх,підземний,true,3,125350,6768900,54,1
БФК А136 Highlight Tower,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),324,"без ремонту, під ремонт",від авто та сторонніх,підземний,true,3,125350,7270300,58,1
БФК А136 Highlight Tower,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),324,"без ремонту, під ремонт",від авто та сторонніх,підземний,true,3,122725,9818000,80,2
БФК А136 Highlight Tower,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),324,"без ремонту, під ремонт",від авто та сторонніх,підземний,true,3,122725,9940725,81,2
БФК А136 Highlight Tower,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),324,"без ремонту, під ремонт",від авто та сторонніх,підземний,true,3,122725,10431625,85,2
БФК А136 Highlight Tower,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),324,"без ремонту, під ремонт",від авто та сторонніх,підземний,true,3,122725,10799800,88,2
БФК А136 Highlight Tower,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),324,"без ремонту, під ремонт",від авто та сторонніх,підземний,true,3,122725,13254300,108,2
БФК А136 Highlight Tower,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),324,"без ремонту, під ремонт",від авто та сторонніх,підземний,true,3,122725,14358825,117,2
БФК А136 Highlight Tower,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),324,"без ремонту, під ремонт",від авто та сторонніх,підземний,true,3,121500,14215500,117,3
БФК А136 Highlight Tower,DIM,бізнес,монолітно-каркасна,цегла,мінеральна вата,індивідуальне (в квартирі),324,"без ремонту, під ремонт",від авто та сторонніх,підземний,true,3,121500,15916500,131,3
ЖК LUCKY LAND,DIM,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),5183,"без ремонту, з ремонтом",від авто та сторонніх,"гостьовий (2500 паркомісць), підземний з ліфтом (356 паркомісць)",true,3,66425,1859900,28,1
ЖК LUCKY LAND,DIM,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),5183,"без ремонту, з ремонтом",від авто та сторонніх,"гостьовий (2500 паркомісць), підземний з ліфтом (356 паркомісць)",true,3,66425,1859900,28,1
ЖК LUCKY LAND,DIM,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),5183,"без ремонту, з ремонтом",від авто та сторонніх,"гостьовий (2500 паркомісць), підземний з ліфтом (356 паркомісць)",true,3,66425,1992750,30,1
ЖК LUCKY LAND,DIM,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),5183,"без ремонту, з ремонтом",від авто та сторонніх,"гостьовий (2500 паркомісць), підземний з ліфтом (356 паркомісць)",true,3,66425,2324875,35,1
ЖК LUCKY LAND,DIM,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),5183,"без ремонту, з ремонтом",від авто та сторонніх,"гостьовий (2500 паркомісць), підземний з ліфтом (356 паркомісць)",true,3,65625,2887500,44,1
ЖК LUCKY LAND,DIM,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),5183,"без ремонту, з ремонтом",від авто та сторонніх,"гостьовий (2500 паркомісць), підземний з ліфтом (356 паркомісць)",true,3,66425,3254825,49,1
ЖК LUCKY LAND,DIM,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),5183,"без ремонту, з ремонтом",від авто та сторонніх,"гостьовий (2500 паркомісць), підземний з ліфтом (356 паркомісць)",true,3,66425,3454100,52,1
ЖК LUCKY LAND,DIM,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),5183,"без ремонту, з ремонтом",від авто та сторонніх,"гостьовий (2500 паркомісць), підземний з ліфтом (356 паркомісць)",true,3,66425,3586950,54,1
ЖК LUCKY LAND,DIM,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),5183,"без ремонту, з ремонтом",від авто та сторонніх,"гостьовий (2500 паркомісць), підземний з ліфтом (356 паркомісць)",true,3,66425,3586950,54,1
ЖК LUCKY LAND,DIM,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),5183,"без ремонту, з ремонтом",від авто та сторонніх,"гостьовий (2500 паркомісць), підземний з ліфтом (356 паркомісць)",true,3,66425,3852650,58,1
